Context,Question,Answer,Context Length,Answer Length,Question Length
"হাবের সুবিধা -
১. হাবের দাম কম ।
২. হাব বিভিন্ন মিডিয়ামকে সংযুক্ত করতে পারে।
হাবের অসুবিধা -
১. নেটওয়ার্ক ট্রাফিক বৃদ্ধি পায় ।
২. ডেটার সংঘর্ষ বা কলিশন সম্ভাবনা থাকে।
৩. ডেটা পরিশ্রুতকরণ বা ফিল্টারিং সম্ভব হয় না।",হাবের অসুবিধা  কোনটি ?,ডেটা পরিশ্রুতকরণ বা ফিল্টারিং সম্ভব হয় না।,33,7,4
"কো-এক্সিয়াল ক্যাবল বা রিলে স্টেশনের মধ্য দিয়ে টিভি সম্প্রচার সম্ভব হলেও দূরবর্তী কোন স্থানের খবর সংগ্রহ করা সম্ভব হতো না। এ কারণে ১৯৫০ এর দশকে কৃত্রিম উপগ্রহের  উদ্ভব হয়। প্রথম দিকের স্যাটেলাইট গুলো নিম্ন কক্ষপথ (ইকো স্যাটেলাইট, টেলস্টার কমিউনিকেশন স্যাটেলাইট)-এ স্থাপন করা হতো। এই গুলো পৃথিবী পরিভ্রমণে যেমন অধিক সময় নিতো তেমনি পৃথিবীর কম অংশই ক্যাপচার করতে পারতো।",প্রথম দিকের স্যাটেলাইট গুলো কোথায়  স্থাপন করা হতো?,"নিম্ন কক্ষপথ (ইকো স্যাটেলাইট, টেলস্টার কমিউনিকেশন স্যাটেলাইট)-এ",58,7,8
ওয়েব পেইজ অ্যাড্রেসের বিভিন্ন অংশের নাম ও একটি নমুনা হলো - প্রোটোকল: এক এক ধরনের অবস্থাকে চিহ্নিত করার জন্য এক এক রকম প্রোটোকল ব্যবহার করা হয়। হোস্ট নেইম বা কম্পিউটার নেইম: ডোমেইন-এর আওতাভুক্ত কোন কম্পিউটারকে নির্দেশ করার জন্য যে নাম ব্যবহার করা হয় তা হোস্ট নেইম হিসেবে পরিচিত। প্রকৃতপক্ষে এ হোস্টনেইমের একটি অংশ হচ্ছে ডোমেইন নেইম। একটি সার্ভারে বিভিন্ন হোস্টনেইম ভাগাভাগি করে অবস্থান করে। ডিরেক্টরী পাথ: হোস্ট কম্পিউটারের নির্দিষ্ট ফাইলের পাথ। ডকুমেন্ট নেইম: হোস্ট কম্পিউটারের নির্দিষ্ট ফাইলের নাম।,ওয়েব পেইজ অ্যাড্রেসের বিভিন্ন অংশের নাম কি কি ?,প্রোটোকল ও হোস্ট নেইম বা কম্পিউটার নেইম,78,7,9
"ডিজিটাল ইলেক্ট্রনিক্সে তিনটি মৌলিক লজিক গেইট ব্যবহার হয়। যথা- অর  গেইট, অ্যান্ড গেইট ও নট গেইট। অ্যান্ড গেইটের সকল ইনপুট ১ হলেই কেবলমাত্র আউটপুট ১ হবে অন্যথায় আউটপুট ০ হবে। অর গেইটের যে কোন একটি ইনপুট ১ হলে আউটপুট ১ হবে । নট গেইটের ইনপুট ১ হলে আউটপুট ০ এবং ইনপুট ০ হলে আউটপুট ১ হয়। ন্যান্ড ও নর গেইট দিয়ে সকল মৌলিক গেইট বাস্তবায়ন করা যায় বলে এ দুটি সার্বজনীন গেইট বলে । ",মৌলিক লজিক গেইট গুলো কি কি ?,"অর  গেইট, অ্যান্ড গেইট ও নট গেইট",74,7,7
জিএসএম এর প্রাথমিক সার্ভিসের লক্ষ্য হচ্ছে উঁচু মানের ডিজিটাল ভয়েস ট্রান্সমিশন নিশ্চিত করা। তাছাড়া জিএসএম এর একটি অন্যতম জনপ্রিয় সার্ভিস এর নাম হল এসএমএস । রোমিং সুবিধা থাকলে পৃথিবীর যে কোন জায়গায় এসএমএস করা যায়। মেসেজ ট্রান্সফার সার্ভিসে সর্বোচ্চ ১৬০টি অক্ষর ব্যবহার করা যায়। সম্প্রতি আমাদের দেশে এমএমএস  চালু হয়েছে। এমএমএস দ্বারা ছবি বা ইমেজ পাঠানো যায়। নিচে জিএসএম সার্ভিসের অন্যান্য বিভিন্ন সুবিধা উল্লেখ করা হলো। ,জিএসএম এর প্রাথমিক সার্ভিসের লক্ষ্য কি ?,উঁচু মানের ডিজিটাল ভয়েস ট্রান্সমিশন নিশ্চিত করা।,66,7,7
"ওয়েব সাইট/পেজ চালু করতে নিম্নলিখিত কাজগুলো করতে হবে। যথা-
ধাপ-১ : ডোমেইন নেইম রেজিস্ট্রেশন
সুন্দর একটি নাম যা সহজে মনে রাখা যায় এবং অর্থবোধক হয় তা নির্বাচন করে সেই নামের ডোমেইন রেজিস্ট্রেশন করতে হবে।
ধাপ-২ : ওয়েব পেজ ডিজাইন
ওয়েব পেজ ডিজাইন করতে হবে। এ ক্ষেত্রে প্রফেশনাল ওয়েব ডিজাইনারদের সহযোগিতা নিলে ভাল হয়। অনেক প্রতিষ্ঠান রয়েছে যারা অর্থের বিনিময়ে ওয়েব পেজ ডিজাইন করে দেয়।
ধাপ-৩ : ওয়েব সার্ভারে পেজ হোস্টিং
ডোমেইন রেজিস্ট্রেশন ও ওয়েব পেজ ডিজাইন সম্পন্ন করার পর ওয়েব সাইট/পেজগুলো নির্ভরযোগ্য কোন সার্ভারে হোস্ট করতে হবে। অনেক প্রতিষ্ঠান রয়েছে যারা অর্থের বিনিময়ে এই হোস্টিং সার্ভিস প্রদান করে।
ধাপ-৪ : সার্চ ইঞ্জিনের সাথে ওয়েব সাইট সংযুক্ত 
এই ধাপটি অত্যাবশ্যকীয় নয়। ওয়েব পেজ/সাইটটি আরো বেশি প্রচারমুখী করার জন্য সার্চ ইঞ্জিনের সাথে সংযুক্ত করতে হবে।",কি করার পর ওয়েব সাইট/পেজগুলো নির্ভরযোগ্য কোন সার্ভারে হোস্ট করতে হবে?,ডোমেইন রেজিস্ট্রেশন ও ওয়েব পেজ ডিজাইন সম্পন্ন,116,7,11
"প্রেরণ প্রান্ত এবং দূরবর্তী গ্রহণ প্রান্তের মধ্যে ডেটা আদান-প্রদানের জন্য প্রয়োজন উভয় প্রান্তের মধ্যে সংযোগ। এই সংযোগকে সাধারণত চ্যানেল বলা হয়। এই চ্যানেল বাস্তবায়নের জন্য বিভিন্ন প্রকার মাধ্যম  ব্যবহার করা হয়। ডেটা চলাচলের এই মাধ্যমগুলোকেই কমিউনিকেশন মাধ্যম বলা হয়। ডেটা কমিউনিকেশন মাধ্যম দুই ধরনের দেখা যায়। যথা- তার মাধ্যম : ক্যাবল বা তার, সাধারণ টেলিফোন, ফাইবার অপটিক লাইন ইত্যাদি । তারবিহীন বা বেতার মাধ্যম: বেতার তরঙ্গ, মাইক্রোওয়েভ, ভূ-উপগ্রহ ব্যবস্থা, ইনফ্রারেড ইত্যাদি। এনিয়ে কয়েকটি কমিউনিকেশন মাধ্যমের সংক্ষিপ্ত পরিচয় দেয়া হলো ।",ডেটা কমিউনিকেশন মাধ্যম  গুলো কি কি ?,তার মাধ্যম ও তারবিহীন বা বেতার মাধ্যম,80,7,7
প্রেরক যন্ত্র সেকেন্ডে প্রায় ৬০০ কোটি বা তার কাছাকাছি বার কম্পন বিশিষ্ট মাইক্রোওয়েভ সংকেত উপগ্রহে পাঠায়। উপগ্রহে পৌঁছানোর পর এই সংকেত অত্যন্ত ক্ষীণ হয়ে পড়ে। উপগ্রহে অনেকগুলি ট্রান্সপোন্ডার থাকে। এই ট্রান্সপোন্ডার ক্ষীণ সংকেতকে রিলে করে ৪০০ কোটি বার কম্পন বিশিষ্ট সংকেতে পরিণত করে পৃথিবীর গ্রাহক যন্ত্রে ফেরত পাঠায়। ইনটেলস্যাট উপগ্রহের মাধ্যমে পরস্পরের মধ্যে সংযোগ রক্ষা করে থাকে। এছাড়া অনেক দেশ তাদের নিজস্ব উপগ্রহ যোগাযোগ ব্যবস্থা প্রতিষ্ঠা করেছে। এমনকি আমেরিকার অনেক কোম্পানির নিজস্ব ভূ-উপগ্রহ যোগাযোগ ব্যবস্থা রয়েছে। তাই বর্তমান বিশ্বের বিভিন্ন দেশে মাইক্রোওয়েভ সংযোগের মাধ্যমে ডেটা স্থানান্তরের জন্য ব্যাপকভাবে ভূ-উপগ্রহ ব্যবহৃত হচ্ছে।,প্রেরক যন্ত্র সেকেন্ডে কত বার কম্পন বিশিষ্ট মাইক্রোওয়েভ সংকেত উপগ্রহে পাঠায়?,প্রায় ৬০০ কোটি বা তার কাছাকাছি বার,91,7,11
"একটি ডি টাইপ ফ্লিপ-ফ্লপের আউটপুট পরবর্তী ফ্লিপ ফ্লপের ইনপুটের সাথে সংযুক্ত। সকল ফ্লিপ ফ্লপে একটি কমন ক্লক পালস্ দেওয়া হয়। এক একটি পালসে এক একটি বিট সরানো হয়। শিফট রেজিস্টার কয়েক ধরনের হয়। যথা-শিফ্‌ট লেফট, শিফ্ট রাইট এবং কন্ট্রোলড শিফ্ট। কন্ট্রোলড শিফ্‌ট রেজিস্টার আবার দু'ধরনের হতে পারে। যথা-সিরিয়াল লোডিং ও প্যারালাল লোডিং ।",শিফট রেজিস্টার কি কি ?,"শিফ্‌ট লেফট, শিফ্ট রাইট এবং কন্ট্রোলড শিফ্ট",53,7,5
"কোন ব্যক্তির নিকটবর্তী বিভিন্ন ইনফরমেশন টেকনোলজি ডিভাইসের মধ্যে তথ্য আদান প্রদানের নেটওয়ার্ক সিস্টেমকে পার্সোনাল এরিয়া নেটওয়ার্ক বা প্যান বলে। প্যান এর ব্যাপ্তি বা পরিসীমা সীমিত সাধারণ 10 মিটার এর মধ্যে সীমাবদ্ধ। ল্যাপটপ কমিউনিকেশন সিস্টেমস ও নেটওয়ার্কিং, পিডিএ  বহনযোগ্য প্রিন্টার, মোবাইল ইত্যাদি পার্সোনাল এরিয়া নেটওয়ার্ক বা প্যান এ ব্যবহৃত ইনফরমেশন টেকনোলজি ডিভাইস এর উদাহরণ। বাড়ী, অফিস, গাড়ী কিংবা জনগণের জন্য উম্মুক্ত যে কোন জায়গায় পার্সোনাল এরিয়া নেটওয়ার্ক বা প্যান  তৈরি করা যেতে পারে।",প্যান এর ব্যাপ্তি বা পরিসীমা কত?,সীমিত সাধারণ 10 মিটার এর মধ্যে সীমাবদ্ধ,72,7,6
